code;id;state;region;province;location;station;dataset;filename;frequency;longitude;latitude;elevation
ASN00003062;;;;;;BEVERLEY SP;ghcnd;ASN00003062;01d;125.4833;-16.5833;-999.9
ASN00003063;;;;;;BEVERLEY SPRINGS;ghcnd;ASN00003063;01d;125.4586;-16.7150;400.0
ASN00003064;;;;;;FITZROY A.I.M;ghcnd;ASN00003064;01d;125.5833;-18.1667;-999.9
ASN00003065;;;;;;KALYEEDA;ghcnd;ASN00003065;01d;124.7167;-18.5500;-999.9
ASN00003066;;;;;;PORT SMITH;ghcnd;ASN00003066;01d;121.8072;-18.5175;10.0
ASN00003068;;;;;;DAMPIER DOWNS;ghcnd;ASN00003068;01d;123.4561;-18.5075;120.0
ASN00003069;;;;;;KOOLAN ISLAND;ghcnd;ASN00003069;01d;123.7764;-16.1306;152.0
ASN00003072;;;;;;ONE ARM POINT;ghcnd;ASN00003072;01d;123.0653;-16.4508;2.0
ASN00003073;;;;;;KIMBOLTON;ghcnd;ASN00003073;01d;123.8375;-16.6872;25.0
ASN00003074;;;;;;YAKKAMUNGA;ghcnd;ASN00003074;01d;123.4731;-17.9347;50.0
ASN00003075;;;;;;DERBY RFDS;ghcnd;ASN00003075;01d;123.6356;-17.3117;-999.9
ASN00003076;;;;;;WESTERN FIELD;ghcnd;ASN00003076;01d;125.3886;-19.3283;240.0
ASN00003077;;;;;;MOWLA BLUFF;ghcnd;ASN00003077;01d;123.6133;-18.5914;120.0
ASN00003078;;;;;;CADJEBUT;ghcnd;ASN00003078;01d;125.9875;-18.7267;200.0
ASN00003079;;;;;;SHELAMAR;ghcnd;ASN00003079;01d;121.7208;-18.9897;20.0
ASN00003080;;;;;;CURTIN AERO;ghcnd;ASN00003080;01d;123.8217;-17.5736;77.5
ASN00003081;;;;;;CURTIN;ghcnd;ASN00003081;01d;123.8222;-17.5778;91.0
ASN00003082;;;;;;KIRBY GARDENS;ghcnd;ASN00003082;01d;122.3631;-17.8672;40.0
ASN00003083;;;;;;BROOME BIRD OBSERVATORY;ghcnd;ASN00003083;01d;122.3431;-17.9769;15.0
ASN00003084;;;;;;DERBY (MANNING RD);ghcnd;ASN00003084;01d;123.6781;-17.3436;10.0
ASN00003085;;;;;;MOUNT JOWLAENGA;ghcnd;ASN00003085;01d;123.0389;-17.4311;80.0
ASN00003086;;;;;;WILLARE BRIDGE;ghcnd;ASN00003086;01d;123.6547;-17.7278;20.0
ASN00003087;;;;;;TANJUNGPANDAN;ghcnd;ASN00003087;01d;122.1458;-17.5606;15.0
ASN00003088;;;;;;LARRAWA;ghcnd;ASN00003088;01d;126.5247;-18.8375;260.0
ASN00003089;;;;;;BROOME COMPARISON;ghcnd;ASN00003089;01d;122.2339;-17.9492;7.0
ASN00003090;;;;;;DEBESA;ghcnd;ASN00003090;01d;124.0772;-17.7981;100.0
ASN00003091;;;;;;BEEFWOOD PARK;ghcnd;ASN00003091;01d;125.8478;-18.9894;200.0
